"UTLA22NM","AreaCode","Value"
"Salford","E08000006",0.322160579217654
"Sandwell","E08000028",0.308352586383727
"Sefton","E08000014",0.249236721948494
"Sheffield","E08000019",0.277848463904374
"Shropshire","E06000051",0.185524248615871
"Slough","E06000039",0.253556128304694
"Solihull","E08000029",0.200844562922518
"Somerset Cty","E10000027",0.18162097929423
"South Gloucestershire","E06000025",0.200507025848313
"South Tyneside","E08000023",0.283859637609735
"Southampton","E06000045",0.292920257539811
"Southend-on-Sea","E06000033",0.248760617418359
"Southwark","E09000028",0.289842933208359
"St. Helens","E08000013",0.261070022415426
"Staffordshire","E10000028",0.226375277624786
"Stockport","E08000007",0.207185287992483
"Stockton-on-Tees","E06000004",0.266825362421175
"Stoke-on-Trent","E06000021",0.309663087126052
"Suffolk","E10000029",0.215108102090526
"Sunderland","E08000024",0.293787040818002
"Surrey","E10000030",0.179648246162498
"Sutton","E09000029",0.192708473457089
"Swindon","E06000030",0.270995217246549
"Tameside","E08000008",0.283769068318564
"Telford and Wrekin","E06000020",0.262621027164162
"Thurrock","E06000034",0.246273110014753
"Torbay","E06000027",0.27860881322949
"Tower Hamlets","E09000030",0.292118151895602
"Trafford","E08000009",0.269958847620652
"Wakefield","E08000036",0.279145617032522
"Walsall","E08000030",0.257050854851761
"Waltham Forest","E09000031",0.242912056017914
"Wandsworth","E09000032",0.291491033774929
"Warrington","E06000007",0.227098004284084
"Warwickshire","E10000031",0.21481753506302
"West Berkshire","E06000037",0.182088235707847
"West Northamptonshire","E06000062",0.212544567086123
"West Sussex","E10000032",0.199176197540089
"Westminster","E09000033",0.300636228362963
"Wigan","E08000010",0.288602238933236
"Wiltshire","E06000054",0.19473590297981
"Windsor and Maidenhead","E06000040",0.175559559125783
"Wirral","E08000015",0.287457310755277
"Wokingham","E06000041",0.125269686314517
"Wolverhampton","E08000031",0.270275236313054
"Worcestershire","E10000034",0.181344062612798
"York","E06000014",0.214846744133287
