"AreaName","AreaCode","Value"
"Sunderland","E08000024",23.27183112
"Surrey","E10000030",14.69852504
"Sutton","E09000029",15.4177511
"Swindon","E06000030",15.30445951
"Tameside","E08000008",22.68319928
"Telford and Wrekin","E06000020",19.5340307
"Thurrock","E06000034",16.20418042
"Torbay","E06000027",21.8835884
"Tower Hamlets","E09000030",9.682270127
"Trafford","E08000009",17.01714878
"Wakefield","E08000036",22.04263291
"Walsall","E08000030",22.17070994
"Waltham Forest","E09000031",13.43840425
"Wandsworth","E09000032",10.27293234
"Warrington","E06000007",19.46531936
"Warwickshire","E10000031",17.30013646
"West Berkshire","E06000037",16.36188382
"West Northamptonshire","E06000062",17.15230546
"West Sussex","E10000032",16.54377048
"Westminster","E09000033",12.13692302
"Wigan","E08000010",22.54101891
"Wiltshire","E06000054",17.97381648
"Windsor and Maidenhead","E06000040",13.13173713
"Wirral","E08000015",22.08831055
"Wokingham","E06000041",13.99890397
"Wolverhampton","E08000031",17.86858766
"Worcestershire","E10000034",19.601789
"York","E06000014",16.82130794
