FID,UTLA22CD,UTLA22NM,UTLA22NMW
153,W06000014,Vale of Glamorgan,Bro Morgannwg
154,W06000015,Cardiff,Caerdydd
155,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
156,W06000018,Caerphilly,Caerffili
157,W06000019,Blaenau Gwent,Blaenau Gwent
158,W06000020,Torfaen,Torfaen
159,W06000021,Monmouthshire,Sir Fynwy
160,W06000022,Newport,Casnewydd
161,W06000023,Powys,Powys
162,W06000024,Merthyr Tydfil,Merthyr Tudful
163,E06000059,Dorset,
164,E06000060,Buckinghamshire,
165,E06000061,North Northamptonshire,
166,E06000062,West Northamptonshire,
167,E08000001,Bolton,
168,E08000002,Bury,
169,E08000003,Manchester,
170,E08000004,Oldham,
171,E08000005,Rochdale,
172,E08000006,Salford,
173,E08000007,Stockport,
174,E08000008,Tameside,
175,E08000009,Trafford,
176,E08000010,Wigan,
177,E08000011,Knowsley,
178,E08000012,Liverpool,
179,E08000013,St. Helens,
180,E08000014,Sefton,
181,E08000015,Wirral,
182,E08000016,Barnsley,
183,E08000017,Doncaster,
184,E08000018,Rotherham,
185,E08000019,Sheffield,
186,E08000021,Newcastle upon Tyne,
187,E08000022,North Tyneside,
188,E08000023,South Tyneside,
189,E08000024,Sunderland,
190,E08000025,Birmingham,
191,E08000026,Coventry,
192,E08000027,Dudley,
193,E08000028,Sandwell,
194,E08000029,Solihull,
195,E08000030,Walsall,
196,E08000031,Wolverhampton,
197,E08000032,Bradford,
198,E08000033,Calderdale,
199,E08000034,Kirklees,
200,E08000035,Leeds,
201,E08000036,Wakefield,
202,E08000037,Gateshead,
203,E09000001,City of London,
204,E09000002,Barking and Dagenham,
205,E09000003,Barnet,
206,E09000004,Bexley,
207,E09000005,Brent,
208,E09000006,Bromley,
209,E09000007,Camden,
210,E09000008,Croydon,
211,E09000009,Ealing,
212,E09000010,Enfield,
213,E09000011,Greenwich,
214,E09000012,Hackney,
215,E09000013,Hammersmith and Fulham,
216,E09000014,Haringey,
217,E09000015,Harrow,
